qa_id,route,category,attribute,intent_full,split,sentiment,question,answer,product,q_len,a_len,provenance,label_source
200067,PRODUCT_INFO,제품,제품,제품_품질_질문,eval,n,이 향수가 정품인지 어떻게 확인할 수 있나요?,해당 내용은 상세페이지 기준으로 확인해 드릴게요.,향수,25,27,합성,저작 시 라우트 지정
200021,ORDER_PLACE,구매,제품,구매_제품_질문,eval,m,이 슬리퍼 275로 주세요.,확인해 보고 바로 안내드릴게요.,슬리퍼,15,17,합성,저작 시 라우트 지정
200169,OTHER,매장,일반,매장_위치_질문,outscope,m,시착만 해보고 온라인에서 주문해도 되나요?,해당 문의는 저희가 도와드리기 어려운 부분입니다.,,23,26,합성,저작 시 범위 밖으로 지정
200152,RETURN_REFUND,교환|반품|환불,일반,교환|반품|환불_일반_질문,eval,m,반품 사유를 잘못 선택했는데 나중에 수정할 수 있나요?,불편을 드려 죄송합니다. 확인해 드리겠습니다.,,30,25,합성,저작 시 라우트 지정
200068,PRODUCT_INFO,제품,일반,제품_품질_질문,eval,n,받은 상품 택에 적힌 소재랑 페이지 설명이 다릅니다.,확인 후 정확한 정보로 답변드리겠습니다.,,29,22,합성,저작 시 라우트 지정
200047,PRODUCT_INFO,제품,제품,제품_사이즈_질문,eval,m,바지가 신축성 있는 소재인지 아닌지 알고 싶습니다.,상품별로 달라 조회 후 안내드리겠습니다.,바지,28,22,합성,저작 시 라우트 지정
200051,PRODUCT_INFO,제품,제품,제품_구성_질문,fewshot,m,이 코트 안에 기모가 들어간 제품인가요?,확인 후 정확한 정보로 답변드리겠습니다.,코트,22,22,합성,저작 시 라우트 지정
200024,ORDER_PLACE,구매,제품,구매_수량_요청,eval,m,고민하다가 이 목걸이로 결정했습니다.,"네, 확인 후 도와드리겠습니다.",목걸이,20,17,합성,저작 시 라우트 지정
200188,OTHER,웹사이트,일반,웹사이트_오류_문의,outscope,n,장바구니에 담아둔 게 사라졌어요.,해당 문의는 저희가 도와드리기 어려운 부분입니다.,,18,26,합성,저작 시 범위 밖으로 지정
200143,RETURN_REFUND,교환|반품|환불,일반,교환|반품|환불_일반_질문,eval,n,환불된 금액이 제가 계산한 것보다 적게 들어온 것 같습니다.,불편을 드려 죄송합니다. 확인해 드리겠습니다.,,33,25,합성,저작 시 라우트 지정
200093,SHIPPING,배송,일반,배송_시간_질문,eval,m,도착 예정일을 미리 알 수 있는 방법이 있을까요?,주문 건을 조회한 뒤 알려드리겠습니다.,,27,21,합성,저작 시 라우트 지정
200083,SHIPPING,배송,일반,배송_비용_질문,eval,m,어제 오후에 결제했는데 오늘 출고되는 것이 맞는지 확인하고 싶습니다.,배송 정책에 따라 안내드리겠습니다.,,38,19,합성,저작 시 라우트 지정
200003,ORDER_PLACE,구매,제품,구매_제품_요청,fewshot,m,이 원피스 M으로 주문하려는데 지금 재고가 남아 있나요?,해당 옵션으로 접수 도와드리겠습니다.,원피스,31,20,합성,저작 시 라우트 지정
200016,ORDER_PLACE,구매,일반,구매_제품_요청,eval,m,사이즈 95로 두 벌 주문 넣어주시면 감사하겠습니다.,"네, 확인 후 도와드리겠습니다.",,29,17,합성,저작 시 라우트 지정
200158,RETURN_REFUND,교환|반품|환불,일반,교환|반품|환불_일반_질문,fewshot,m,검품에서 문제가 없으면 전액 그대로 환급받게 되나요?,정책에 따라 확인 후 안내드리겠습니다.,,29,21,합성,저작 시 라우트 지정
200156,RETURN_REFUND,교환|반품|환불,일반,교환|반품|환불_일반_질문,fewshot,m,상품을 받자마자 바로 반품 신청을 넣어도 되는 건가요?,정책에 따라 확인 후 안내드리겠습니다.,,30,21,합성,저작 시 라우트 지정
200027,ORDER_PLACE,구매,일반,구매_수량_요청,eval,m,파란색 말고 회색으로 바꿔서 해주세요.,확인해 보고 바로 안내드릴게요.,,21,17,합성,저작 시 라우트 지정
200081,SHIPPING,배송,일반,배송_일반_질문,fewshot,m,배송비가 얼마인가요?,배송 관련 내용 확인해 안내드리겠습니다.,,11,22,합성,저작 시 라우트 지정
200088,SHIPPING,배송,일반,배송_일반_질문,fewshot,m,오전 중에 결제를 마치면 당일에 바로 발송되는 구조인가요?,배송 관련 내용 확인해 안내드리겠습니다.,,32,22,합성,저작 시 라우트 지정
200061,PRODUCT_INFO,제품,제품,제품_재고_질문,eval,m,이 반지가 도금 제품인지 은 제품인지 궁금합니다.,상품 정보를 확인해 안내드리겠습니다.,반지,27,20,합성,저작 시 라우트 지정
200034,ORDER_PLACE,구매,일반,구매_제품_요청,eval,m,양말은 세 켤레로 해서 넣어주시면 감사하겠습니다.,"네, 확인 후 도와드리겠습니다.",,27,17,합성,저작 시 라우트 지정
200122,RETURN_REFUND,교환|반품|환불,일반,교환|반품|환불_일반_질문,eval,m,교환 신청한 상품이 언제쯤 도착하는지 확인 부탁드립니다.,접수 건을 확인해 진행 상황을 알려드릴게요.,,31,24,합성,저작 시 라우트 지정
200170,OTHER,매장,일반,매장_위치_질문,outscope,m,전화로 문의할 수 있는 지점 번호가 있을까요?,해당 문의는 저희가 도와드리기 어려운 부분입니다.,,25,26,합성,저작 시 범위 밖으로 지정
200046,PRODUCT_INFO,제품,일반,제품_재고_질문,eval,m,100 사이즈 어깨 실측 치수가 몇 센티인지 알려주세요.,해당 내용은 상세페이지 기준으로 확인해 드릴게요.,,31,27,합성,저작 시 라우트 지정
200041,PRODUCT_INFO,제품,제품,제품_재고_질문,eval,m,가죽 자켓은 소재가 어떻게 되나요?,해당 내용은 상세페이지 기준으로 확인해 드릴게요.,가죽 자켓,19,27,합성,저작 시 라우트 지정
200044,PRODUCT_INFO,제품,일반,제품_사이즈_질문,eval,m,세트 구성에 파우치도 함께 들어있는 건가요?,확인 후 정확한 정보로 답변드리겠습니다.,,24,22,합성,저작 시 라우트 지정
200090,SHIPPING,배송,일반,배송_일반_질문,eval,m,무료배송 쿠폰을 적용하면 배송비를 내지 않아도 되는 것이 맞나요?,배송 정책에 따라 안내드리겠습니다.,,36,19,합성,저작 시 라우트 지정
200070,PRODUCT_INFO,제품,제품,제품_품질_질문,eval,m,모자는 사이즈가 하나로만 나오는 제품인지 궁금합니다.,확인 후 정확한 정보로 답변드리겠습니다.,모자,29,22,합성,저작 시 라우트 지정
200042,PRODUCT_INFO,제품,제품,제품_품질_질문,fewshot,m,원피스 안감이 따로 들어가 있는 제품인지 궁금합니다.,해당 내용은 상세페이지 기준으로 확인해 드릴게요.,원피스,29,27,합성,저작 시 라우트 지정
200076,PRODUCT_INFO,제품,일반,제품_재고_질문,eval,m,주문하면 사은품도 함께 오는 것으로 되어 있나요?,상품별로 달라 조회 후 안내드리겠습니다.,,27,22,합성,저작 시 라우트 지정
200053,PRODUCT_INFO,제품,제품,제품_재고_질문,eval,m,신발 발볼이 넓게 나온 편인지 알 수 있을까요?,확인 후 정확한 정보로 답변드리겠습니다.,신발,26,22,합성,저작 시 라우트 지정
200102,SHIPPING,배송,일반,배송_일반_질문,fewshot,m,보통 결제부터 수령까지 며칠 정도 걸리는지 알려주세요.,확인하는 데 잠시만 시간을 주세요.,,30,19,합성,저작 시 라우트 지정
200115,SHIPPING,배송,일반,배송_시간_질문,eval,m,발송이 시작되면 따로 알림을 받아볼 수 있나요?,배송 관련 내용 확인해 안내드리겠습니다.,,26,22,합성,저작 시 라우트 지정
200192,OTHER,예약,일반,예약_가능_질문,outscope,m,출시 전에 미리 주문해 둘 수 있는지 궁금합니다.,해당 문의는 저희가 도와드리기 어려운 부분입니다.,,27,26,합성,저작 시 범위 밖으로 지정
200139,RETURN_REFUND,교환|반품|환불,일반,교환|반품|환불_비용_질문,eval,m,검품 중으로 표시되는데 앞으로 얼마나 더 기다려야 하나요?,정책에 따라 확인 후 안내드리겠습니다.,,32,21,합성,저작 시 라우트 지정
200147,RETURN_REFUND,교환|반품|환불,일반,교환|반품|환불_일반_질문,fewshot,n,받은 제품이 불량으로 보여서 교환을 요청드리고 싶습니다.,불편을 드려 죄송합니다. 확인해 드리겠습니다.,,31,25,합성,저작 시 라우트 지정
200164,OTHER,매장,일반,매장_위치_질문,outscope,m,강남 쪽에 오프라인 매장이 있는지 궁금합니다.,해당 문의는 저희가 도와드리기 어려운 부분입니다.,,25,26,합성,저작 시 범위 밖으로 지정
200071,PRODUCT_INFO,제품,제품,제품_구성_질문,eval,m,이 잠옷은 도톰한 편인가요 아니면 얇은 편인가요?,확인 후 정확한 정보로 답변드리겠습니다.,잠옷,27,22,합성,저작 시 라우트 지정
200040,ORDER_PLACE,구매,일반,구매_제품_요청,eval,m,지금 보고 있는 걸로 두 개 해주세요.,확인해 보고 바로 안내드릴게요.,,21,17,합성,저작 시 라우트 지정
200193,OTHER,예약,일반,예약_가능_질문,outscope,m,스타일링 상담을 예약할 수 있나요?,해당 문의는 저희가 도와드리기 어려운 부분입니다.,,19,26,합성,저작 시 범위 밖으로 지정
200148,RETURN_REFUND,교환|반품|환불,일반,교환|반품|환불_일반_질문,eval,m,반품 가능 기간이 지나면 아예 접수가 안 되는 건가요?,정책에 따라 확인 후 안내드리겠습니다.,,30,21,합성,저작 시 라우트 지정
200183,OTHER,행사,일반,행사_일정_질문,outscope,m,블랙프라이데이 할인도 진행하시나요?,해당 문의는 저희가 도와드리기 어려운 부분입니다.,,19,26,합성,저작 시 범위 밖으로 지정
200012,ORDER_PLACE,구매,제품,구매_수량_요청,fewshot,m,세트에 포함된 스카프만 따로 살 수 있는지 알고 싶어요.,"네, 확인 후 도와드리겠습니다.",스카프,31,17,합성,저작 시 라우트 지정
200072,PRODUCT_INFO,제품,일반,제품_구성_질문,eval,m,색상이 총 몇 가지로 나오는지 알려주시겠어요?,상품별로 달라 조회 후 안내드리겠습니다.,,25,22,합성,저작 시 라우트 지정
200010,ORDER_PLACE,구매,일반,구매_제품_질문,fewshot,m,단체로 열 장을 한꺼번에 구매하려는데 따로 문의해야 하나요?,확인해 보고 바로 안내드릴게요.,,33,17,합성,저작 시 라우트 지정
200179,OTHER,행사,일반,행사_일정_질문,outscope,m,지금 진행 중인 이벤트가 있는지 궁금합니다.,해당 문의는 저희가 도와드리기 어려운 부분입니다.,,24,26,합성,저작 시 범위 밖으로 지정
200073,PRODUCT_INFO,제품,제품,제품_재고_질문,fewshot,m,가디건이 봄가을에 입기 적당한 두께인지 궁금해요.,상품별로 달라 조회 후 안내드리겠습니다.,가디건,27,22,합성,저작 시 라우트 지정
200134,RETURN_REFUND,교환|반품|환불,일반,교환|반품|환불_일반_질문,eval,m,세 개 중 하나만 반품하면 배송비가 얼마로 청구되나요?,정책에 따라 확인 후 안내드리겠습니다.,,30,21,합성,저작 시 라우트 지정
200168,OTHER,매장,일반,매장_위치_질문,outscope,m,매장 재고를 미리 확인하고 방문할 수 있나요?,해당 문의는 저희가 도와드리기 어려운 부분입니다.,,25,26,합성,저작 시 범위 밖으로 지정
200063,PRODUCT_INFO,제품,제품,제품_재고_질문,eval,m,후드 기장이 엉덩이를 덮는 정도로 긴 편인가요?,확인 후 정확한 정보로 답변드리겠습니다.,후드,26,22,합성,저작 시 라우트 지정
200110,SHIPPING,배송,일반,배송_일반_질문,eval,m,택배 기사님이 대략 몇 시쯤 방문하시는지 알 수 있나요?,확인하는 데 잠시만 시간을 주세요.,,31,19,합성,저작 시 라우트 지정
200079,PRODUCT_INFO,제품,제품,제품_사이즈_질문,eval,m,브라 와이어가 들어간 제품인지 아닌지 알고 싶어요.,상품 정보를 확인해 안내드리겠습니다.,브라,28,20,합성,저작 시 라우트 지정
200144,RETURN_REFUND,교환|반품|환불,일반,교환|반품|환불_시간_질문,eval,n,반품 회수는 해 가셨는데 그 뒤로 아무 연락이 없습니다.,정책에 따라 확인 후 안내드리겠습니다.,,31,21,합성,저작 시 라우트 지정
200133,RETURN_REFUND,교환|반품|환불,일반,교환|반품|환불_비용_질문,eval,m,수령한 지 열흘 정도 지났는데 아직 반품이 되는 기간인가요?,불편을 드려 죄송합니다. 확인해 드리겠습니다.,,33,25,합성,저작 시 라우트 지정
200145,RETURN_REFUND,교환|반품|환불,일반,교환|반품|환불_일반_질문,eval,m,교환하려는 사이즈가 품절이면 어떻게 처리되는 건가요?,정책에 따라 확인 후 안내드리겠습니다.,,29,21,합성,저작 시 라우트 지정
200172,OTHER,매장,일반,매장_위치_질문,outscope,m,픽업 서비스 되는 매장이 있는지 궁금해요.,해당 문의는 저희가 도와드리기 어려운 부분입니다.,,23,26,합성,저작 시 범위 밖으로 지정
200009,ORDER_PLACE,구매,제품,구매_제품_질문,eval,m,부츠 240 사이즈가 주문 가능한 상태인지 확인 부탁드립니다.,주문 도와드리겠습니다. 잠시만 기다려 주세요.,부츠,34,25,합성,저작 시 라우트 지정
200032,ORDER_PLACE,구매,제품,구매_수량_요청,eval,m,이 원피스는 네이비로 하나만 부탁드려요.,확인해 보고 바로 안내드릴게요.,원피스,22,17,합성,저작 시 라우트 지정
200086,SHIPPING,배송,일반,배송_일반_질문,eval,n,주문한 지 나흘이 지났는데 아직까지 아무 연락도 없습니다.,주문 건을 조회한 뒤 알려드리겠습니다.,,32,21,합성,저작 시 라우트 지정
200159,RETURN_REFUND,교환|반품|환불,일반,교환|반품|환불_일반_질문,eval,m,반품 접수번호는 어디에서 확인할 수 있는지 궁금합니다.,불편을 드려 죄송합니다. 확인해 드리겠습니다.,,30,25,합성,저작 시 라우트 지정
200189,OTHER,웹사이트,일반,웹사이트_오류_문의,outscope,n,리뷰를 쓰려는데 사진이 업로드되지 않습니다.,해당 문의는 저희가 도와드리기 어려운 부분입니다.,,24,26,합성,저작 시 범위 밖으로 지정
200066,PRODUCT_INFO,제품,일반,제품_사이즈_질문,eval,m,사이즈가 정사이즈로 나오는지 크게 나오는지 알고 싶어요.,상품 정보를 확인해 안내드리겠습니다.,,31,20,합성,저작 시 라우트 지정
200130,RETURN_REFUND,교환|반품|환불,일반,교환|반품|환불_비용_질문,eval,m,반품 접수한 건이 현재 어느 단계까지 진행됐는지 궁금합니다.,접수 건을 확인해 진행 상황을 알려드릴게요.,,33,24,합성,저작 시 라우트 지정
200112,SHIPPING,배송,일반,배송_비용_질문,eval,m,반품 접수를 했는데 회수하러 언제 오시는지 궁금합니다.,확인하는 데 잠시만 시간을 주세요.,,30,19,합성,저작 시 라우트 지정
200137,RETURN_REFUND,교환|반품|환불,일반,교환|반품|환불_시간_질문,fewshot,m,교환품 발송이 언제쯤 이루어지는지 일정을 알고 싶습니다.,접수 건을 확인해 진행 상황을 알려드릴게요.,,31,24,합성,저작 시 라우트 지정
200011,ORDER_PLACE,구매,제품,구매_제품_질문,fewshot,m,이 가방 같은 디자인으로 두 개 구매되는지 궁금합니다.,확인해 보고 바로 안내드릴게요.,가방,30,17,합성,저작 시 라우트 지정
200114,SHIPPING,배송,일반,배송_비용_질문,eval,m,품절 상품을 빼고 나머지만 먼저 보내주시는 것이 가능한가요?,배송 정책에 따라 안내드리겠습니다.,,33,19,합성,저작 시 라우트 지정
200054,PRODUCT_INFO,제품,일반,제품_재고_질문,eval,m,상세페이지에 원산지 표기가 안 보이는데 어디인가요?,해당 내용은 상세페이지 기준으로 확인해 드릴게요.,,28,27,합성,저작 시 라우트 지정
200167,OTHER,매장,일반,매장_위치_질문,outscope,m,백화점에도 입점되어 있는 브랜드인가요?,해당 문의는 저희가 도와드리기 어려운 부분입니다.,,21,26,합성,저작 시 범위 밖으로 지정
200052,PRODUCT_INFO,제품,일반,제품_재고_질문,fewshot,m,블루하고 네이비는 실제로 색 차이가 많이 나나요?,해당 내용은 상세페이지 기준으로 확인해 드릴게요.,,27,27,합성,저작 시 라우트 지정
200005,ORDER_PLACE,구매,일반,구매_수량_요청,eval,m,이거 색상별로 하나씩 전부 주문하고 싶은데 가능할까요?,주문 도와드리겠습니다. 잠시만 기다려 주세요.,,30,25,합성,저작 시 라우트 지정
200119,SHIPPING,배송,일반,배송_시간_질문,eval,m,금요일에 주문하면 월요일에는 받아볼 수 있을까요?,확인하는 데 잠시만 시간을 주세요.,,27,19,합성,저작 시 라우트 지정
200037,ORDER_PLACE,구매,제품,구매_제품_요청,eval,m,요 귀걸이는 은색으로 해주시면 됩니다.,해당 옵션으로 접수 도와드리겠습니다.,귀걸이,21,20,합성,저작 시 라우트 지정
200095,SHIPPING,배송,일반,배송_일반_질문,eval,m,주말에 주문을 넣으면 언제 출고 처리가 되는 건가요?,배송 관련 내용 확인해 안내드리겠습니다.,,29,22,합성,저작 시 라우트 지정
200157,RETURN_REFUND,교환|반품|환불,일반,교환|반품|환불_비용_질문,eval,m,반품하고 다른 색상으로 다시 받고 싶은데 가능한가요?,접수 건을 확인해 진행 상황을 알려드릴게요.,,29,24,합성,저작 시 라우트 지정
200182,OTHER,행사,일반,행사_일정_질문,outscope,m,신규 가입하면 주는 혜택이 따로 있나요?,해당 문의는 저희가 도와드리기 어려운 부분입니다.,,22,26,합성,저작 시 범위 밖으로 지정
200184,OTHER,웹사이트,일반,웹사이트_오류_문의,outscope,n,로그인이 계속 풀리는데 어떻게 해야 하나요?,해당 문의는 저희가 도와드리기 어려운 부분입니다.,,24,26,합성,저작 시 범위 밖으로 지정
200190,OTHER,예약,일반,예약_가능_질문,outscope,m,재입고되면 알림을 받을 수 있나요?,해당 문의는 저희가 도와드리기 어려운 부분입니다.,,19,26,합성,저작 시 범위 밖으로 지정
200126,RETURN_REFUND,교환|반품|환불,일반,교환|반품|환불_일반_질문,eval,n,수거 신청을 했는데 예정일에 기사님이 오지 않으셨습니다.,불편을 드려 죄송합니다. 확인해 드리겠습니다.,,31,25,합성,저작 시 라우트 지정
200077,PRODUCT_INFO,제품,제품,제품_재고_질문,fewshot,m,이 슬리퍼는 바닥에 미끄럼 방지 처리가 되어 있나요?,상품별로 달라 조회 후 안내드리겠습니다.,슬리퍼,29,22,합성,저작 시 라우트 지정
200060,PRODUCT_INFO,제품,일반,제품_구성_질문,eval,m,상세페이지 사진이랑 실물 색상이 많이 다른 편인가요?,해당 내용은 상세페이지 기준으로 확인해 드릴게요.,,29,27,합성,저작 시 라우트 지정
200180,OTHER,행사,일반,행사_일정_질문,outscope,m,쿠폰은 어디에서 받을 수 있나요?,해당 문의는 저희가 도와드리기 어려운 부분입니다.,,18,26,합성,저작 시 범위 밖으로 지정
200181,OTHER,행사,일반,행사_일정_질문,outscope,m,적립금은 얼마부터 사용할 수 있나요?,해당 문의는 저희가 도와드리기 어려운 부분입니다.,,20,26,합성,저작 시 범위 밖으로 지정
200109,SHIPPING,배송,일반,배송_시간_질문,fewshot,m,무료배송 기준 금액이 어떻게 되는지 알려주시면 좋겠습니다.,배송 관련 내용 확인해 안내드리겠습니다.,,32,22,합성,저작 시 라우트 지정
200116,SHIPPING,배송,일반,배송_일반_질문,eval,n,주소를 잘못 입력한 것 같은데 어떻게 하면 좋을까요?,배송 관련 내용 확인해 안내드리겠습니다.,,29,22,합성,저작 시 라우트 지정
200084,SHIPPING,배송,일반,배송_일반_질문,eval,m,제주도로 받는데 추가 배송비가 따로 붙는지 궁금합니다.,확인하는 데 잠시만 시간을 주세요.,,30,19,합성,저작 시 라우트 지정
200036,ORDER_PLACE,구매,일반,구매_수량_요청,eval,m,티는 두 장이고 바지는 하나만 해주세요.,해당 옵션으로 접수 도와드리겠습니다.,,22,20,합성,저작 시 라우트 지정
200129,RETURN_REFUND,교환|반품|환불,일반,교환|반품|환불_시간_질문,eval,n,환불 처리가 됐다고 들었는데 아직 입금 내역이 없습니다.,정책에 따라 확인 후 안내드리겠습니다.,,31,21,합성,저작 시 라우트 지정
200035,ORDER_PLACE,구매,제품,구매_수량_요청,eval,m,고민했는데 그 패딩 아이보리로 하겠습니다.,"네, 확인 후 도와드리겠습니다.",패딩,23,17,합성,저작 시 라우트 지정
200108,SHIPPING,배송,일반,배송_시간_질문,eval,m,넣어둔 주문이 오늘 출고 가능한 상태인지 확인해 주시겠어요?,배송 관련 내용 확인해 안내드리겠습니다.,,33,22,합성,저작 시 라우트 지정
200104,SHIPPING,배송,일반,배송_시간_질문,eval,m,부재 시 경비실에 맡겨달라고 요청하는 것이 가능한가요?,배송 관련 내용 확인해 안내드리겠습니다.,,30,22,합성,저작 시 라우트 지정
200087,SHIPPING,배송,일반,배송_시간_질문,eval,n,송장번호를 받았는데 택배사 사이트에서 조회가 되지 않습니다.,주문 건을 조회한 뒤 알려드리겠습니다.,,33,21,합성,저작 시 라우트 지정
200150,RETURN_REFUND,교환|반품|환불,일반,교환|반품|환불_비용_질문,fewshot,m,포장 비닐을 뜯었는데 반품 심사에서 문제가 될까요?,접수 건을 확인해 진행 상황을 알려드릴게요.,,28,24,합성,저작 시 라우트 지정
200105,SHIPPING,배송,일반,배송_비용_질문,fewshot,n,결제는 완료됐는데 배송조회에 아무 내역도 뜨지 않습니다.,배송 정책에 따라 안내드리겠습니다.,,31,19,합성,저작 시 라우트 지정
200094,SHIPPING,배송,일반,배송_일반_질문,eval,m,어느 택배사를 통해 발송되는지 알려주시면 감사하겠습니다.,배송 관련 내용 확인해 안내드리겠습니다.,,31,22,합성,저작 시 라우트 지정
200127,RETURN_REFUND,교환|반품|환불,일반,교환|반품|환불_일반_질문,eval,m,단순 변심으로 반품하면 비용이 얼마나 발생하는지 알려주세요.,접수 건을 확인해 진행 상황을 알려드릴게요.,,33,24,합성,저작 시 라우트 지정
200138,RETURN_REFUND,교환|반품|환불,일반,교환|반품|환불_일반_질문,eval,m,결제 취소를 하면 카드로 바로 환급되는 방식인가요?,정책에 따라 확인 후 안내드리겠습니다.,,28,21,합성,저작 시 라우트 지정
